Column 1,Title,JSON,Column 3,Column 4
LADD,Acta agricultur? Scandinavica.,,339587,17/12/2013
LADD,Acta agricultur? Scandinavica.,,339590,17/12/2013
LADD,Acta anatomica,,383137,1/02/2017
LADD,Acta anatomica,,367853,16/11/2015
LADD,Acta chirurgica Scandinavica.,,333749,5/08/2013
LADD,Acta chirurgica Scandinavica.,,11840084,13/12/2017
LADD,Acta cytologica,,370655,26/02/2016
LADD,Acta cytologica,,370658,19/02/2016
LADD,Acta cytologica,,370659,19/02/2016
LADD,Acta cytologica,,370655,2/03/2016
LADD,Acta cytologica.,,340550,16/01/2014
LADD,Acta cytologica.,,370653,26/02/2016
LADD,Acta cytologica.,,370852,29/02/2016
LADD,Acta cytologica.,,370653,2/03/2016
LADD,Acta dermato-venereologica.,,11995749,2/05/2018
LADD,Acta dermato-venereologica.,,12072886,6/07/2018
LADD,Acta endocrinol,,350416,15/08/2014
LADD,Acta endocrinol,,350417,15/08/2014
LADD,Acta horticulturae,,382146,9/01/2017
LADD,Acta horticulturae,,382186,5/01/2017
LADD,Acta Horticulturae,,388081,26/05/2017
LADD,Acta Horticulturae,,388082,26/05/2017
LADD,Acta Horticulturae,,378245,7/09/2016
LADD,Acta Horticulturae,,378247,7/09/2016
LADD,Acta Horticulturae,,378248,7/09/2016
LADD,Acta Horticulturae,,378249,7/09/2016
LADD,Acta Horticulturae,,378444,15/09/2016
LADD,Acta horticulturae,,381523,9/12/2016
LADD,Acta Horticulturae,,361088,21/05/2015
LADD,Acta horticulturae.,,390007,31/07/2017
LADD,Acta horticulturae.,,371590,11/03/2016
LADD,Acta horticulturae.,,374678,3/06/2016
LADD,Acta horticulturae.,,11909862,22/02/2018
LADD,Acta horticulturae.,,11940197,15/03/2018
LADD,Acta neurochirurgica,,329140,30/04/2013
LADD,Acta neurochirurgica,,328719,22/04/2013
LADD,Acta neurochirurgica,,328726,22/04/2013
LADD,Acta neurologica Scandinavica,,324143,23/01/2013
LADD,Acta neurologica Scandinavica,,324260,25/01/2013
LADD,Acta neurologica Scandinavica,,327716,8/04/2013
LADD,Acta neurologica Scandinavica,,328854,24/04/2013
LADD,Acta neurologica Scandinavica,,328881,24/04/2013
LADD,Acta neurologica Scandinavica,,328884,24/04/2013
LADD,Acta neurologica Scandinavica,,327131,22/03/2013
LADD,Acta neurologica Scandinavica,,329083,1/05/2013
LADD,Acta neurologica Scandinavica,,329084,1/05/2013
LADD,Acta neurologica Scandinavica,,331513,19/06/2013
LADD,Acta neurologica Scandinavica,,382407,9/01/2017
LADD,Acta Neurologica Scandinavica,,371594,15/03/2016
LADD,Acta Neurologica Scandinavica,,357795,13/03/2015
LADD,Acta Neurologica Scandinavica,,364863,1/09/2015
LADD,Acta neurologica Scandinavica. Supplementum,,328868,24/04/2013
LADD,Acta neurologica Scandinavica. Supplementum,,328880,24/04/2013
LADD,Acta orthopaedica Scandinavica. Supplementum,,328727,20/04/2013
LADD,Acta orthopaedica Scandinavica. Supplementum,,328728,20/04/2013
LADD,Acta p?diatrica,,337789,31/10/2013
LADD,Acta p?diatrica,,336430,26/09/2013
LADD,"Acta Paediatrica Scandinavica, Supplement",,389367,30/06/2017
LADD,"Acta Paediatrica Scandinavica, Supplement",,389459,5/07/2017
LADD,Acta pathologica japonica,,340215,8/01/2014
LADD,Acta pathologica japonica,,340217,8/01/2014
LADD,Acta pathologica japonica,,341187,29/01/2014
LADD,Acta physiologica Scandinavica,,349209,24/07/2014
LADD,Acta physiologica Scandinavica,,385894,6/04/2017
LADD,Acta Psychiatrica Scandinavica,,382978,27/01/2017
LADD,Acta psychiatrica Scandinavica,,386115,11/04/2017
LADD,Acta psychiatrica Scandinavica,,11733683,6/09/2017
LADD,Acta psychiatrica Scandinavica,,11828085,30/11/2017
LADD,Acta Psychiatrica Scandinavica,,374899,7/06/2016
LADD,Acta psychiatrica Scandinavica,,381902,21/12/2016
LADD,Acta psychiatrica Scandinavica,,341012,24/01/2014
LADD,Acta psychiatrica Scandinavica,,341017,24/01/2014
LADD,Acta Psychiatrica Scandinavica,,342140,18/02/2014
LADD,Acta psychiatrica Scandinavica,,323232,3/01/2013
LADD,Acta psychiatrica Scandinavica,,323233,3/01/2013
LADD,Acta psychiatrica Scandinavica,,323235,4/01/2013
LADD,Acta Psychiatrica Scandinavica,,324041,21/01/2013
LADD,Acta psychiatrica Scandinavica,,337211,16/10/2013
LADD,Acta psychiatrica Scandinavica,,339226,6/12/2013
LADD,Acta psychiatrica Scandinavica,,339289,9/12/2013
LADD,Acta psychiatrica Scandinavica,,363940,6/08/2015
LADD,Acta psychiatrica Scandinavica.,,382512,11/01/2017
LADD,Acta psychiatrica Scandinavica.,,382514,11/01/2017
LADD,Acta psychiatrica Scandinavica.,,11745504,15/09/2017
LADD,Acta psychiatrica Scandinavica.,,11804778,7/11/2017
LADD,Acta psychiatrica Scandinavica.,,365340,7/09/2015
LADD,Acta psychiatrica Scandinavica.,,365281,7/09/2015
LADD,Acta psychiatrica Scandinavica.,,365327,7/09/2015
LADD,Acta radiologica,,345437,23/04/2014
LADD,Acta radiologica,,365407,8/09/2015
LADD,Action in teacher education,,324059,23/01/2013
LADD,Action in teacher education,,371152,4/03/2016
LADD,Adapted Physical Activity Quarterly,,349782,7/08/2014
LADD,Adapted Physical Activity Quarterly,,382887,27/01/2017
LADD,Adapted Physical Activity Quarterly,,365229,7/09/2015
LADD,Addiction,,378751,21/09/2016
LADD,Addiction,,378773,21/09/2016
LADD,Adoption and fostering,,346763,21/05/2014
LADD,Adoption and fostering,,329476,15/05/2013
LADD,Adsorption Science & Technology,,346515,26/05/2014
LADD,Adsorption Science & Technology,,346516,15/05/2014
LADD,Adsorption Science & Technology,,380198,28/10/2016
LADD,Advanced Materials Research,,325806,4/03/2013
LADD,Advanced Materials Research,,386378,22/04/2017
LADD,Advanced Materials Research,,389865,21/07/2017
LADD,Advanced materials research,,389911,24/07/2017
LADD,Advanced materials research,,372734,11/04/2016
LADD,Advanced Materials Research,,374031,19/05/2016
LADD,Advanced Materials Research,,374038,19/05/2016
LADD,Advanced Materials Research,,374039,19/05/2016
LADD,Advanced materials research,,374740,3/06/2016
LADD,Advanced Materials Research,,374741,3/06/2016
LADD,Advanced Materials Research,,360744,15/05/2015
LADD,Advanced Materials Research,,362046,12/06/2015
LADD,Advances in agronomy,,361271,25/05/2015
LADD,Advances in agronomy,,345711,29/04/2014
LADD,Advances in agronomy,,345712,29/04/2014
LADD,Advances in agronomy,,332306,5/07/2013
LADD,Advances in applied microbiology,,356294,30/01/2015
LADD,Advances in applied microbiology,,355970,27/01/2015
LADD,Advances in applied microbiology,,354182,19/11/2014
LADD,Advances in carbohydrate chemistry and ,,377641,24/08/2016
LADD,Advances in carbohydrate chemistry and ,,367119,23/10/2015
LADD,Advances in Carbohydrate Chemistry and Biochemistry,,347395,12/06/2014
LADD,Advances in Carbohydrate Chemistry and Biochemistry,,362105,19/06/2015
LADD,Advances in Carbohydrate Chemistry and Biochemistry,,362104,19/06/2015
LADD,Advances in child development and behavior,,373583,9/05/2016
LADD,Advances in child development and behavior,,353523,27/10/2014
LADD,Advances in chronic kidney disease,,351189,29/08/2014
LADD,Advances in chronic kidney disease,,338924,28/11/2013
LADD,Advances in experimental social psychology,,323380,8/01/2013
LADD,Advances in Experimental Social Psychology,,334231,15/08/2013
LADD,Advances in experimental social psychology,,350945,25/08/2014
LADD,Advances in experimental social psychology,,348738,14/07/2014
LADD,Advances in Experimental Social Psychology,,11927911,14/03/2018
LADD,Advances in experimental social psychology.,,375346,20/06/2016
LADD,Advances in experimental social psychology.,,12228197,21/11/2018
LADD,Advances in financial education.,,11857740,11/01/2018
LADD,Advances in financial education.,,11857929,10/01/2018
LADD,Advances in financial education.,,11857948,10/01/2018
LADD,Advances in financial education.,,11858022,11/01/2018
LADD,Advances in financial education.,,11858038,10/01/2018
LADD,Advances in financial education.,,11858069,11/01/2018
LADD,Advances in financial education.,,11858095,10/01/2018
LADD,Advances in financial education.,,11858113,10/01/2018
LADD,Advances in financial education.,,11858123,10/01/2018
LADD,Advances in financial education.,,11858131,10/01/2018
LADD,Advances in financial education.,,11858305,11/01/2018
LADD,Advances in financial education.,,11858368,10/01/2018
LADD,Advances in financial education.,,11858389,10/01/2018
LADD,Advances in financial education.,,11858429,10/01/2018
LADD,Advances in financial education.,,11858451,10/01/2018
LADD,Advances in financial education.,,11857714,9/01/2018
