University,json,new address,Address,Town,City/Town,State/Territory,PostalCode,Lat/long,,,State,Postcode
Australian National University,"[{""place_id"":""148421189"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""308813007"",""boundingbox"":[""-37.8136945"",""-37.8133927"",""144.9716716"",""144.9719117""],""lat"":""-37.81354365"",""lon"":""144.971791681654"",""display_name"":""Australian National University, 52, Collins Street, Melbourne City, City of Melbourne, Victoria, 3000, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""141434793"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""279984863"",""boundingbox"":[""-35.2900054"",""-35.2725308"",""149.1083466"",""149.1265575""],""lat"":""-35.28121335"",""lon"":""149.11665331324"",""display_name"":""Australian National University, Garran Road, Acton, Canberra, Canberra Central, Australian Capital Territory, 2601, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""}]","Australian National University, 52, Collins Street, Melbourne City, City of Melbourne, Victoria, 3000, Australia",Garran Road,Acton,Canberra Central,Australian Capital Territory,2601,"-37.81354365,144.971791681654",,,Australian Capital Territory,2601
University of Canberra,"[{""place_id"":""79838438"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""22944315"",""boundingbox"":[""-35.2423096"",""-35.2316636"",""149.074698"",""149.0914746""],""lat"":""-35.23656905"",""lon"":""149.084469935058"",""display_name"":""University of Canberra, University Drive, Bruce, Belconnen, Australian Capital Territory, 2617, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.720431996894773,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""89515282"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""53348666"",""boundingbox"":[""-35.2375639"",""-35.2368107"",""149.0911401"",""149.0924792""],""lat"":""-35.2371873"",""lon"":""149.091809620225"",""display_name"":""University of Canberra, 170, Haydon Drive, Bruce, Belconnen, Australian Capital Territory, 2617, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""}]","University of Canberra, University Drive, Bruce, Belconnen, Australian Capital Territory, 2617, Australia",University Drive,Bruce,,Australian Capital Territory,2617,"-35.23656905,149.084469935058",,,Australian Capital Territory,2617
Charles Darwin University,"[{""place_id"":""128547667"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""225921820"",""boundingbox"":[""-23.7006844"",""-23.6973461"",""133.8949884"",""133.8986049""],""lat"":""-23.69892155"",""lon"":""133.896732967744"",""display_name"":""Charles Darwin University, Grevillea Drive, Sadadeen, Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""140949826"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""280172079"",""boundingbox"":[""-23.6991375"",""-23.6982101"",""133.8960858"",""133.8970426""],""lat"":""-23.6988473"",""lon"":""133.8963622505"",""display_name"":""Charles Darwin University, Grevillea Drive, Sadadeen, Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia"",""class"":""building"",""type"":""yes"",""importance"":0.30100000000000005},{""place_id"":""20803918"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":""2037828110"",""boundingbox"":[""-19.6521894"",""-19.6520894"",""134.1957617"",""134.1958617""],""lat"":""-19.6521394"",""lon"":""134.1958117"",""display_name"":""Charles Darwin University, Staunton Street, Kargaru, Barkly Region, Northern Territory, 0860, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""165997006"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""396776565"",""boundingbox"":[""-14.3771265"",""-14.3716935"",""132.1517129"",""132.1584263""],""lat"":""-14.3749826"",""lon"":""132.154949306066"",""display_name"":""Katherine Rural Campus, Stuart Highway, Emungalan, Town of Katherine, Northern Territory, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.001,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""}]","Charles Darwin University, Grevillea Drive, Sadadeen, Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia",Grevillea Drive,Sadadeen,Alice Springs,Northern Territory,870,"-23.69892155,133.896732967744",,,Northern Territory,870
University of New England,"[{""place_id"":""176585894"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""468147206"",""boundingbox"":[""-30.4948691"",""-30.4797667"",""151.6308446"",""151.64859""],""lat"":""-30.4869854"",""lon"":""151.639777641786"",""display_name"":""University of New England, The Short Run, Armidale, NSW, 2351, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.401,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""82883333"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""30788082"",""boundingbox"":[""43.6816503"",""43.6854813"",""-70.2982406"",""-70.2935941""],""lat"":""43.68380905"",""lon"":""-70.2955761217235"",""display_name"":""University of New England, College Street, Morrills Corner, Portland, Cumberland County, Maine, 04103, USA"",""class"":""amenity"",""type"":""university"",""importance"":0.401,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""123712029"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""202645038"",""boundingbox"":[""-30.4993714"",""-30.4989828"",""151.6444492"",""151.6453783""],""lat"":""-30.4991748"",""lon"":""151.644912116837"",""display_name"":""University of New England, Claude Street, Armidale, NSW, 2350, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.401},{""place_id"":""122788293"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""202644374"",""boundingbox"":[""-30.4977777"",""-30.497037"",""151.6374019"",""151.6379813""],""lat"":""-30.497505"",""lon"":""151.63762189813"",""display_name"":""University of New England, Meredith Road, Armidale, NSW, 2350, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.401},{""place_id"":""123209151"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""202644373"",""boundingbox"":[""-30.4994102"",""-30.4983696"",""151.6402618"",""151.6415011""],""lat"":""-30.4988915"",""lon"":""151.640592556502"",""display_name"":""University of New England, Handel Street, Armidale, Mitchells Flat, Armidale, NSW, 2350, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.401},{""place_id"":""123211445"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""202644218"",""boundingbox"":[""-30.49908"",""-30.4985207"",""151.6420769"",""151.6425651""],""lat"":""-30.49879805"",""lon"":""151.642420206718"",""display_name"":""University of New England, Elm Avenue, Armidale, NSW, 2350, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.401},{""place_id"":""132494983"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""237319387"",""boundingbox"":[""43.4500936"",""43.4610117"",""-70.3932826"",""-70.3804083""],""lat"":""43.4554108"",""lon"":""-70.3898929650985"",""display_name"":""University of New England, Pool Street, Biddeford, York County, Maine, 04005, USA"",""class"":""amenity"",""type"":""university"",""importance"":0.401,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""}]","University of New England, The Short Run, Armidale, NSW, 2351, Australia",The Short Run,Armidale,,NSW,2351,"-30.4869854,151.639777641786",,,NSW,2351
Charles Sturt University,"[{""place_id"":""199014995"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":""5918999"",""boundingbox"":[""-35.0688185"",""-35.0468025"",""147.3465463"",""147.3767496""],""lat"":""-35.0636071"",""lon"":""147.3552234"",""display_name"":""Charles Sturt University, Wagga Wagga, NSW, 2678, Australia"",""class"":""boundary"",""type"":""administrative"",""importance"":0.554014568085032,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png""},{""place_id"":""125874940"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""209287987"",""boundingbox"":[""-35.3062014"",""-35.3033195"",""149.1364068"",""149.1398582""],""lat"":""-35.30511425"",""lon"":""149.138402213639"",""display_name"":""Charles Sturt University, The Labyrinth, Barton, Canberra, Canberra Central, Australian Capital Territory, 2600, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""184209131"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""515373974"",""boundingbox"":[""-33.2470146"",""-33.2465488"",""149.1169761"",""149.1184193""],""lat"":""-33.2467749"",""lon"":""149.117697462931"",""display_name"":""Charles Sturt University, Warradagang Drive, Orange, NSW, 2800, Australia"",""class"":""building"",""type"":""yes"",""importance"":0.30100000000000005},{""place_id"":""165740682"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""395457569"",""boundingbox"":[""-31.4586281"",""-31.4569676"",""152.8743427"",""152.8768803""],""lat"":""-31.45760765"",""lon"":""152.876266250166"",""display_name"":""Charles Sturt University, Ellis Parade, Port Macquarie, Hibbard, Port Macquarie-Hastings, NSW, 2444, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""158597833"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""371443568"",""boundingbox"":[""-31.4344444"",""-31.4338254"",""152.9143286"",""152.9148021""],""lat"":""-31.4341349"",""lon"":""152.91456535"",""display_name"":""Charles Sturt University, Grant Street, Port Macquarie, Port Macquarie-Hastings, NSW, 2444, Australia"",""class"":""building"",""type"":""yes"",""importance"":0.30100000000000005}]","Charles Sturt University, Wagga Wagga, NSW, 2678, Australia",,NSW,Australia,NSW,2678,"-35.0636071,147.3552234",,,NSW,2678
Macquarie University,"[{""place_id"":""4068126"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":""434350593"",""boundingbox"":[""-33.7824154"",""-33.7724154"",""151.1131406"",""151.1231406""],""lat"":""-33.7774154"",""lon"":""151.1181406"",""display_name"":""Macquarie University, Waterloo Road, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""railway"",""type"":""station"",""importance"":0.47810883699101003,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/transport_train_station2.p.20.png""},{""place_id"":""124537018"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""207693612"",""boundingbox"":[""-33.7812113"",""-33.7676962"",""151.1049696"",""151.1203977""],""lat"":""-33.7740328"",""lon"":""151.112709182732"",""display_name"":""Macquarie University, Library Road, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.201,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""56768302"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":""4549415427"",""boundingbox"":[""-33.7754229"",""-33.7753229"",""151.1101979"",""151.1102979""],""lat"":""-33.7753729"",""lon"":""151.1102479"",""display_name"":""Macquarie University, Link Road, Marsfield, Sydney, Ryde, NSW, 2122, Australia"",""class"":""amenity"",""type"":""motorcycle_parking"",""importance"":0.201},{""place_id"":""174383880"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""458977630"",""boundingbox"":[""-33.7768604"",""-33.7760915"",""151.1139877"",""151.1143402""],""lat"":""-33.77647595"",""lon"":""151.11416395"",""display_name"":""C3, University Avenue, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.201},{""place_id"":""174808368"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""458977631"",""boundingbox"":[""-33.7767869"",""-33.7765237"",""151.1129734"",""151.1133356""],""lat"":""-33.7766553"",""lon"":""151.113154475124"",""display_name"":""C1, University Avenue, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.201},{""place_id"":""60087270"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":""4826319621"",""boundingbox"":[""-33.7742906"",""-33.7741906"",""151.1135614"",""151.1136614""],""lat"":""-33.7742406"",""lon"":""151.1136114"",""display_name"":""Campus Wellbeing, 16, Wally's Walk, Macquarie Park, Sydney, Ryde, NSW, 2109, Australia"",""class"":""tourism"",""type"":""information"",""importance"":0.101,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/amenity_information.p.20.png""},{""place_id"":""177038843"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""459018031"",""boundingbox"":[""-33.7721036"",""-33.7714371"",""151.1092131"",""151.110166""],""lat"":""-33.77178035"",""lon"":""151.109750138738"",""display_name"":""X13, Gymnasium Road, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.101},{""place_id"":""175360864"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""458980923"",""boundingbox"":[""-33.7743774"",""-33.7737057"",""151.1170511"",""151.1173178""],""lat"":""-33.77404155"",""lon"":""151.11718442506"",""display_name"":""F7, Research Park Drive, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.101},{""place_id"":""175356019"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""458980922"",""boundingbox"":[""-33.7754195"",""-33.775271"",""151.1160596"",""151.1162141""],""lat"":""-33.7753452"",""lon"":""151.116136850185"",""display_name"":""E6, Eastern Road, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.101},{""place_id"":""175579252"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""458977635"",""boundingbox"":[""-33.7763419"",""-33.775724"",""151.108799"",""151.109215""],""lat"":""-33.7761531"",""lon"":""151.109010474507"",""display_name"":""X2, Hadenfeld Avenue, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.101}]","Macquarie University, Waterloo Road, Macquarie Park, Sydney, Ryde, NSW, 2113, Australia",Waterloo Road,Macquarie Park,Ryde,NSW,2113,"-33.7774154,151.1181406",,,NSW,2113
Southern Cross University,"[{""place_id"":""145933315"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""301740653"",""boundingbox"":[""-28.8220776"",""-28.8144261"",""153.295764"",""153.308523""],""lat"":""-28.8188635"",""lon"":""153.300537075398"",""display_name"":""Southern Cross University, Military Road, East Lismore, Lismore, NSW, 2480, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""161821336"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""382599723"",""boundingbox"":[""-28.1702326"",""-28.1676866"",""153.5172903"",""153.519671""],""lat"":""-28.16853855"",""lon"":""153.518418599364"",""display_name"":""Southern Cross University, Gold Coast Highway, Tweed Heads West, Tweed Heads, Tweed, NSW, 2485, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.30100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""236559087"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":""5842732215"",""boundingbox"":[""-30.2676416"",""-30.2675416"",""153.137285"",""153.137385""],""lat"":""-30.2675916"",""lon"":""153.137335"",""display_name"":""Solitary Islands Aquarium, 2, Bay Drive, Coffs Harbour, NSW, 2450, Australia"",""class"":""tourism"",""type"":""aquarium"",""importance"":0.001}]","Southern Cross University, Military Road, East Lismore, Lismore, NSW, 2480, Australia",Military Road,East Lismore,,NSW,2480,"-28.8188635,153.300537075398",,,NSW,2480
University of New South Wales,"[{""place_id"":""118114191"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""182689240"",""boundingbox"":[""-33.7814274"",""-33.7795266"",""151.2559425"",""151.2584565""],""lat"":""-33.78029265"",""lon"":""151.257602342054"",""display_name"":""University of New South Wales, King Street, Manly Vale, Northern Beaches, Sydney, Northern Beaches, NSW, 2093, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.501,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""199086607"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":""6394711"",""boundingbox"":[""-33.9200415"",""-33.9054191"",""151.2244305"",""151.2364136""],""lat"":""-33.91758275"",""lon"":""151.231240246527"",""display_name"":""UNSW, International Square, UNSW, Kensington, Bay Gardens, Sydney, Randwick, NSW, 2033, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.493663201801159,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""19050232"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":""1822379544"",""boundingbox"":[""-33.9176045"",""-33.9175045"",""151.2291015"",""151.2292015""],""lat"":""-33.9175545"",""lon"":""151.2291515"",""display_name"":""UNSW, Kensington, Bay Gardens, Sydney, Randwick, NSW, 2033, Australia"",""class"":""place"",""type"":""neighbourhood"",""importance"":0.2},{""place_id"":""138657140"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""265360949"",""boundingbox"":[""-33.8845422"",""-33.8834417"",""151.2197305"",""151.2207014""],""lat"":""-33.8838375"",""lon"":""151.220273117787"",""display_name"":""UNSW A&D, Napier Street, Darlinghurst, Sydney, NSW, 2010, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.001,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""}]","University of New South Wales, King Street, Manly Vale, Northern Beaches, Sydney, Northern Beaches, NSW, 2093, Australia",King Street,Manly Vale,Sydney,NSW,2093,"-33.78029265,151.257602342054",,,NSW,2093
University of Newcastle,"[{""place_id"":""172137505"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""440267983"",""boundingbox"":[""-33.3600899"",""-33.3556888"",""151.3747444"",""151.383765""],""lat"":""-33.3578899"",""lon"":""151.37834708231"",""display_name"":""University of Newcastle Central Coast Campus, Technology Bridge, Ourimbah, Gosford, Central Coast, NSW, 2258, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.54927434823075,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""151608422"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""327891250"",""boundingbox"":[""-32.9281205"",""-32.9271465"",""151.7709836"",""151.7717887""],""lat"":""-32.9276256"",""lon"":""151.77133087091"",""display_name"":""University of Newcastle, Christie Street, Newcastle, Walsh Point, Newcastle-Maitland, Newcastle, NSW, 2300, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.31100000000000005,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""168329740"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""420480980"",""boundingbox"":[""-33.3566788"",""-33.3551044"",""151.3737561"",""151.3757039""],""lat"":""-33.3560269"",""lon"":""151.374725675721"",""display_name"":""Central Coast Campus North West Car Park, The Boulevard, Ourimbah, Gosford, Central Coast, NSW, 2258, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.001},{""place_id"":""168736763"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""420480979"",""boundingbox"":[""-33.3587029"",""-33.3572803"",""151.3734476"",""151.3748727""],""lat"":""-33.35798775"",""lon"":""151.374145492486"",""display_name"":""Central Coast Campus South West Car Park, The Boulevard, Ourimbah, Gosford, Central Coast, NSW, 2258, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.001}]","University of Newcastle Central Coast Campus, Technology Bridge, Ourimbah, Gosford, Central Coast, NSW, 2258, Australia",Technology Bridge,Ourimbah,Central Coast,NSW,2258,"-33.3578899,151.37834708231",,,NSW,2258
University of Sydney,"[{""place_id"":""198712830"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":""2903428"",""boundingbox"":[""-33.8929457"",""-33.8847762"",""151.1791009"",""151.1951565""],""lat"":""-33.88890695"",""lon"":""151.189433661925"",""display_name"":""USyd, Fisher Road, Camperdown, Sydney, NSW, 2006, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.646573514239986,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""152462382"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""331779081"",""boundingbox"":[""-33.8673701"",""-33.8643611"",""151.1620525"",""151.1636302""],""lat"":""-33.8662764"",""lon"":""151.162745401681"",""display_name"":""SCA, Kirkbride Way, Lilyfield, Sydney, Inner West, NSW, 2040, Australia"",""class"":""amenity"",""type"":""university"",""importance"":0.11100000000000002,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_university.p.20.png""},{""place_id"":""198143141"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""604686879"",""boundingbox"":[""-33.885869"",""-33.8857135"",""151.1819054"",""151.1821863""],""lat"":""-33.88578245"",""lon"":""151.182068591379"",""display_name"":""Sand Roll House, Parramatta Road, Camperdown, Sydney, NSW, 2050, Australia"",""class"":""amenity"",""type"":""animal_shelter"",""importance"":0.11100000000000002},{""place_id"":""114979150"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""170179148"",""boundingbox"":[""-33.8904492"",""-33.8898858"",""151.1938176"",""151.1943647""],""lat"":""-33.89013745"",""lon"":""151.194092117527"",""display_name"":""Private parking, Shepherd Street, Darlington, Sydney, NSW, 2008, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.11100000000000002},{""place_id"":""23996625"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":""2354390106"",""boundingbox"":[""-33.890006"",""-33.889906"",""151.184839"",""151.184939""],""lat"":""-33.889956"",""lon"":""151.184889"",""display_name"":""Western Avenue Parking, Cadigal Lane, Camperdown, Sydney, NSW, 2050, Australia"",""class"":""amenity"",""type"":""parking"",""importance"":0.11100000000000002},{""place_id"":""149556921"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":""319084318"",""boundingbox"":[""37.9655557"",""37.965784"",""23.7238481"",""23.7240818""],""lat"":""37.96567845"",""lon"":""23.7239727796775"",""display_name"":""AAIA, 17, Ζαχαρίτσα, Κουκάκι, Ακαδημία, Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 11741, Ελλάδα"",""class"":""amenity"",""type"":""college"",""importance"":0.001,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_school.p.20.png""}]","USyd, Fisher Road, Camperdown, Sydney, NSW, 2006, Australia",Fisher Road,Camperdown,,NSW,2006,"-33.88890695,151.189433661925",,,NSW,2006
